TV9Marathi,8,-7,337,1
nationweekend,7,-7,385,1
DDNewsGujarati,7,-7,396,1
NBCDFW,6,-7,447,1
ConversationUK,6,-7,450,1
airnews_hyd,6,-7,500,1
9NewsMelb,11,-8,225,1
LaTribune,11,-8,247,1
dna,10,-8,265,1
dinakaranonline,8,-8,328,1
lavozdegalicia,7,-8,405,1
ABC7,6,-8,430,1
chinaorgcn,6,-8,464,1
NDTVTamil,6,-8,496,1
ONUinfo,4,-8,718,1
SIN24Horas,18,-9,117,1
AustinKellerman,7,-9,355,1
andreasharsono,7,-9,378,1
RANDCorporation,6,-9,451,1
IntoleranciaID,5,-9,560,1
indiacom,5,-9,565,1
NH_India,6,-10,467,1
elpais_america,5,-10,552,1
ieexplained,5,-10,554,1
salimdotcomrade,5,-10,583,1
CBS4Local,4,-10,643,1
ONU_fr,3,-10,814,1
CCTV,3,-10,971,1
BT_India,20,-11,100,1
asianetnewstv,12,-11,220,1
PIBBhopal,6,-11,479,1
Reforma,23,-12,74,1
elsolde_mexico,20,-12,92,1
NewstalkFM,9,-12,288,1
dwnews,7,-12,393,1
NAR,6,-12,469,1
informacion_es,6,-12,473,1
PanamericanaTV,4,-12,690,1
zee24taasnews,17,-13,138,1
lebanondebate,9,-13,303,1
lajornadaonline,8,-13,322,1
News18Kerala,8,-13,333,1
ChilangoCom,6,-13,452,1
workpointnews,21,-14,90,1
soy_502,8,-14,332,1
PublimetroChile,7,-14,377,1
IeTamil,5,-14,587,1
CaracolTV,4,-14,656,1
BFMradio,4,-14,685,1
SCT_mx,3,-14,902,1
eleconomista,18,-15,120,1
Dawn_News,16,-15,148,1
TelefuturoInfo,3,-15,813,1
kanak_news,16,-16,146,1
CiroGomezL,13,-16,184,1
LCI,13,-16,194,1
AFP,9,-16,294,1
YourStoryCo,7,-16,410,1
MiLOKMAT,6,-16,462,1
Vijaykarnataka,6,-16,466,1
ZeeBusiness,6,-16,481,1
Shalupcrf,3,-16,959,1
MumbaiMirror,19,-17,109,1
Adnkronos,19,-17,115,1
martinezmau,3,-17,849,1
Newsweek_JAPAN,25,-18,65,1
thetribunechd,18,-18,124,1
TheDailyPioneer,9,-18,309,1
Tu_IMSS,3,-18,862,1
abc730,3,-18,982,1
AmarUjalaNews,34,-19,35,1
dawn_com,18,-19,130,1
DeniseMaerker,12,-19,210,1
AIRNewsHindi,10,-19,262,1
lentaruofficial,5,-19,530,1
meganoticiascl,4,-19,665,1
latestly,39,-20,29,1
hariankompas,33,-20,38,1
ANINewsUP,9,-20,278,1
thewirehindi,9,-20,281,1
ChannelNewsAsia,6,-20,442,1
TReporta,10,-21,254,1
ministeriosalud,3,-21,803,1
moneycontrolcom,35,-22,34,1
Daily_Express,20,-22,97,1
rakidi,14,-22,175,1
Saudi_Gazette,7,-22,373,1
rapplerdotcom,24,-23,71,1
abpmajhatv,22,-23,83,1
Vanessa_Murphy,3,-23,839,1
WHOWPRO,3,-23,961,1
CNBCArabia,6,-24,434,1
onenews31,5,-24,596,1
sole24ore,4,-24,745,1
DidierPittet,4,-24,765,1
MIB_India,4,-24,784,1
sportstarweb,3,-24,807,1
PTTVOnlineNews,41,-25,24,1
SpringNews_TV,31,-25,45,1
arabnews,20,-25,93,1
Outlookindia,15,-25,157,1
AlBayanNews,10,-25,252,1
AMXNoticias,7,-25,384,1
thatsTamil,32,-26,40,1
GetNewsd,6,-26,502,1
24Entertain,3,-26,804,1
senego,3,-26,815,1
le_Parisien,13,-29,195,1
